distance,total_force
2487.76,-2.92821
2488.93,-2.92136
2490.09,-2.91452
2491.24,-2.90772
2492.38,-2.90094
2493.5,-2.89419
2494.62,-2.88746
2495.72,-2.88076
2496.82,-2.87408
2497.9,-2.86743
2498.97,-2.86081
2500.03,-2.8542
2501.08,-2.84763
2502.11,-2.84107
2503.14,-2.83455
2504.15,-2.82804
2505.16,-2.82156
2506.15,-2.8151
2507.13,-2.80866
2508.1,-2.80225
2509.06,-2.79586
2510.01,-2.7895
2510.94,-2.78315
2511.87,-2.77683
2512.78,-2.77053
2513.68,-2.76425
2514.58,-2.758
2515.46,-2.75177
2516.33,-2.74555
2517.18,-2.73936
2518.03,-2.73319
2518.87,-2.72704
2519.69,-2.72091
2520.51,-2.71481
2521.31,-2.70872
2522.1,-2.70265
2522.88,-2.69661
2523.65,-2.69058
2524.41,-2.68457
2525.15,-2.67858
2525.89,-2.67261
2526.62,-2.66667
2527.33,-2.66073
2528.03,-2.65482
2528.72,-2.64893
2529.4,-2.64306
2530.07,-2.6372
2530.73,-2.63136
2531.38,-2.62554
2532.01,-2.61974
2532.64,-2.61396
2533.25,-2.60819
2533.86,-2.60244
2534.45,-2.59671
2535.03,-2.591
2535.6,-2.5853
2536.16,-2.57962
2536.7,-2.57395
2537.24,-2.56831
2537.77,-2.56267
2538.28,-2.55706
2538.78,-2.55146
2539.28,-2.54587
2539.76,-2.5403
2540.23,-2.53475
2540.69,-2.52921
2541.13,-2.52369
2541.57,-2.51818
2542,-2.51269
2542.41,-2.50721
2542.81,-2.50175
2543.21,-2.4963
2543.59,-2.49086
2543.96,-2.48544
2544.32,-2.48004
2544.67,-2.47464
2545.01,-2.46926
2545.33,-2.4639
2545.65,-2.45855
2545.95,-2.45321
2546.25,-2.44788
2546.53,-2.44256
2546.8,-2.43726
2547.06,-2.43197
2547.31,-2.4267
2547.55,-2.42143
2547.78,-2.41618
2547.99,-2.41094
2548.2,-2.40571
2548.39,-2.4005
2548.57,-2.39529
2548.75,-2.3901
2548.91,-2.38491
2549.06,-2.37974
2549.2,-2.37458
2549.33,-2.36943
2549.44,-2.36429
2549.55,-2.35916
2549.64,-2.35404
2549.73,-2.34893
2549.8,-2.34384
2549.86,-2.33875
2549.91,-2.33367
2549.95,-2.3286
2549.98,-2.32354
2550,-2.31849
2550.01,-2.31344
2550,-2.30841
2549.99,-2.30339
2549.96,-2.29837
2549.93,-2.29336
2549.88,-2.28836
2549.82,-2.28337
2549.75,-2.27839
2549.67,-2.27342
2549.57,-2.26845
2549.47,-2.26349
2549.36,-2.25854
2549.23,-2.25359
2549.1,-2.24865
2548.95,-2.24372
2548.79,-2.2388
2548.62,-2.23388
2548.44,-2.22897
2548.25,-2.22407
2548.05,-2.21917
2547.83,-2.21427
2547.61,-2.20939
2547.37,-2.20451
2547.13,-2.19963
2546.87,-2.19476
2546.6,-2.1899
2546.32,-2.18504
2546.03,-2.18018
2545.73,-2.17534
2545.42,-2.17049
