distance,total_force
1807.13,4.24016
1808.18,4.23409
1809.23,4.22794
1810.28,4.2217
1811.33,4.21538
1812.39,4.20897
1813.45,4.20248
1814.52,4.19591
1815.59,4.18926
1816.66,4.18252
1817.74,4.17571
1818.82,4.16882
1819.91,4.16185
1821,4.1548
1822.09,4.14768
1823.19,4.14048
1824.29,4.1332
1825.39,4.12585
1826.5,4.11843
1827.61,4.11093
1828.72,4.10337
1829.84,4.09573
1830.96,4.08802
1832.09,4.08024
1833.22,4.07239
1834.35,4.06447
1835.48,4.05649
1836.62,4.04844
1837.76,4.04032
1838.9,4.03214
1840.05,4.0239
1841.2,4.01559
1842.36,4.00722
1843.52,3.99878
1844.68,3.99029
1845.84,3.98173
1847.01,3.97311
1848.18,3.96444
1849.35,3.9557
1850.53,3.94691
1851.7,3.93807
1852.89,3.92916
1854.07,3.9202
1855.26,3.91119
1856.45,3.90212
1857.64,3.893
1858.84,3.88382
1860.04,3.8746
1861.24,3.86532
1862.45,3.85599
1863.66,3.84661
1864.87,3.83719
1866.08,3.82771
1867.3,3.81819
1868.52,3.80862
1869.74,3.799
1870.96,3.78934
1872.19,3.77964
1873.42,3.76989
1874.65,3.76009
1875.88,3.75026
1877.12,3.74038
1878.36,3.73046
1879.6,3.72049
1880.85,3.71049
1882.09,3.70045
1883.34,3.69037
1884.59,3.68025
1885.85,3.6701
1887.1,3.65991
1888.36,3.64968
1889.62,3.63941
1890.88,3.62911
1892.15,3.61878
1893.42,3.60841
1894.69,3.59801
1895.96,3.58758
1897.23,3.57711
1898.51,3.56661
1899.79,3.55609
1901.07,3.54553
1902.35,3.53494
1903.63,3.52433
1904.92,3.51368
1906.21,3.50301
1907.5,3.49231
1908.79,3.48158
1910.09,3.47083
1911.38,3.46005
1912.68,3.44925
1913.98,3.43842
1915.28,3.42757
1916.58,3.4167
1917.89,3.4058
1919.2,3.39489
1920.5,3.38395
1921.82,3.37298
1923.13,3.362
1924.44,3.351
1925.76,3.33998
1927.07,3.32894
1928.39,3.31788
1929.71,3.3068
1931.03,3.29571
1932.36,3.2846
1933.68,3.27347
1935.01,3.26233
1936.34,3.25117
1937.67,3.24
1939,3.22881
1940.33,3.21761
1941.66,3.20639
1943,3.19516
1944.33,3.18392
1945.67,3.17267
1947.01,3.1614
1948.35,3.15013
1949.69,3.13884
1951.04,3.12754
1952.38,3.11623
1953.73,3.10492
1955.07,3.09359
1956.42,3.08226
1957.77,3.07092
1959.12,3.05957
1960.47,3.04821
1961.82,3.03685
1963.17,3.02547
1964.53,3.0141
1965.88,3.00272
1967.24,2.99133
1968.6,2.97994
1969.96,2.96854
1971.31,2.95714
1972.68,2.94573
1974.04,2.93433
1975.4,2.92292
1976.76,2.9115
1978.12,2.90009
1979.49,2.88867
1980.85,2.87725
1982.22,2.86583
1983.59,2.85441
1984.96,2.84299
1986.32,2.83157
1987.69,2.82015
1989.06,2.80873
1990.43,2.79731
1991.8,2.78589
1993.18,2.77447
1994.55,2.76306
1995.92,2.75165
1997.3,2.74024
1998.67,2.72883
2000.04,2.71742
2001.42,2.70602
2002.8,2.69463
2004.17,2.68324
2005.55,2.67185
2006.93,2.66046
2008.3,2.64909
2009.68,2.63771
2011.06,2.62634
2012.44,2.61498
2013.82,2.60363
2015.2,2.59228
2016.58,2.58094
2017.96,2.5696
2019.34,2.55827
2020.72,2.54695
2022.1,2.53564
2023.48,2.52433
2024.86,2.51303
2026.25,2.50174
2027.63,2.49046
2029.01,2.47919
2030.39,2.46793
2031.78,2.45667
2033.16,2.44543
2034.54,2.4342
2035.93,2.42297
2037.31,2.41176
2038.69,2.40056
2040.07,2.38936
2041.46,2.37818
2042.84,2.36701
2044.22,2.35585
2045.61,2.34471
2046.99,2.34879
2048.37,2.35351
2049.76,2.35818
2051.14,2.3628
2052.52,2.36737
2053.91,2.37189
2055.29,2.37635
2056.67,2.38076
2058.05,2.38513
2059.44,2.38944
2060.82,2.3937
2062.2,2.39791
2063.58,2.40207
2064.96,2.40619
2066.35,2.41025
2067.73,2.41427
2069.11,2.41823
2070.49,2.42215
2071.87,2.42602
2073.25,2.42984
2074.63,2.43362
2076.01,2.43735
2077.39,2.44103
2078.76,2.44466
2080.14,2.44825
2081.52,2.45179
2082.9,2.45529
2084.27,2.45874
2085.65,2.46214
2087.03,2.4655
2088.4,2.46882
2089.78,2.47209
2091.15,2.47531
2092.52,2.4785
2093.9,2.48163
2095.27,2.48473
2096.64,2.48778
2098.02,2.49079
2099.39,2.49375
2100.76,2.49668
2102.13,2.49956
2103.5,2.5024
2104.86,2.5052
2106.23,2.50795
2107.6,2.51067
2108.97,2.51334
2110.33,2.51597
2111.7,2.51857
2113.06,2.52112
2114.43,2.52363
2115.79,2.5261
2117.15,2.52854
2118.51,2.53093
2119.87,2.53329
2121.23,2.5356
2122.59,2.53788
2123.95,2.54012
2125.31,2.54232
2126.66,2.54448
2128.02,2.54661
2129.38,2.5487
2130.73,2.55075
2132.08,2.55277
2133.43,2.55474
2134.79,2.55669
2136.14,2.55859
2137.49,2.56046
2138.83,2.56229
2140.18,2.56409
2141.53,2.56586
2142.87,2.56759
2144.22,2.56928
2145.56,2.57094
2146.9,2.57256
2148.25,2.57415
2149.59,2.57571
2150.93,2.57723
2152.26,2.57872
2153.6,2.58018
2154.94,2.5816
2156.27,2.58299
2157.61,2.58435
2158.94,2.58568
2160.27,2.58697
2161.6,2.58823
2162.93,2.58947
2164.26,2.59066
2165.59,2.59183
2166.91,2.59297
2168.24,2.59407
2169.56,2.59515
2170.88,2.59619
2172.2,2.59721
2173.52,2.59819
2174.84,2.59914
2176.16,2.60007
2177.47,2.60096
2178.79,2.60183
2180.1,2.60267
2181.41,2.60347
2182.72,2.60425
2184.03,2.60501
2185.34,2.60573
2186.65,2.60642
2187.95,2.60709
2189.26,2.60773
2190.56,2.60834
2191.86,2.60892
2193.16,2.60948
2194.46,2.61001
2195.76,2.61052
2197.05,2.61099
2198.35,2.61144
2199.64,2.61187
2200.93,2.61227
2202.22,2.61264
2203.51,2.61299
2204.79,2.61331
2206.08,2.6136
2207.36,2.61387
2208.65,2.61412
2209.93,2.61434
2211.21,2.61454
2212.48,2.61471
2213.76,2.61486
2215.03,2.61498
2216.31,2.61509
2217.58,2.61516
2218.85,2.61522
2220.12,2.61525
2221.38,2.61525
2222.65,2.61524
2223.91,2.6152
2225.17,2.61513
2226.43,2.61505
2227.69,2.61494
2228.95,2.61481
2230.2,2.61466
2231.46,2.61449
2232.71,2.61429
2233.96,2.61408
2235.21,2.61384
2236.45,2.61358
2237.7,2.6133
2238.94,2.613
2240.18,2.61268
2241.42,2.61234
2242.66,2.61197
